procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 246384704   2088 4512324    0    0    13   112  212  231 27  1 70  0  2 2021-07-25 20:25:07
 0  0      0 246384304   2088 4512328    0    0     0     0  485  777  0  0 100  0  0 2021-07-25 20:25:08
 0  0      0 246384304   2088 4512328    0    0     0     0  488  812  0  0 100  0  0 2021-07-25 20:25:09
 0  0      0 246384304   2088 4512328    0    0     0     0  549  940  0  0 100  0  0 2021-07-25 20:25:10
 0  0      0 246384304   2088 4512328    0    0     0     0  489  818  0  0 100  0  0 2021-07-25 20:25:11
 0  0      0 246384304   2088 4512328    0    0     0     0  490  812  0  0 100  0  0 2021-07-25 20:25:12
 0  0      0 246383744   2088 4512328    0    0     0     0  833 1168  0  0 100  0  0 2021-07-25 20:25:13
 0  0      0 246383504   2088 4512376    0    0     0     0  647 1088  0  0 100  0  0 2021-07-25 20:25:14
 0  0      0 246383520   2088 4512376    0    0     0     0  499  849  0  0 100  0  0 2021-07-25 20:25:15
 0  0      0 246383520   2088 4512376    0    0     0     0  475  776  0  0 100  0  0 2021-07-25 20:25:16
 0  0      0 246383536   2088 4512376    0    0     0     0  717 1072  0  0 100  0  0 2021-07-25 20:25:17
 0  0      0 246383536   2088 4512376    0    0     0     0  608  975  0  0 100  0  0 2021-07-25 20:25:18
 0  0      0 246383536   2088 4512376    0    0     0     0  519  847  0  0 100  0  0 2021-07-25 20:25:19
 0  0      0 246383536   2088 4512376    0    0     0     0  494  852  0  0 100  0  0 2021-07-25 20:25:20
 0  0      0 246383536   2088 4512376    0    0     0     0  520  894  0  0 100  0  0 2021-07-25 20:25:21
 0  0      0 246383536   2088 4512376    0    0     0     0  575  940  0  0 100  0  0 2021-07-25 20:25:22
 0  0      0 246383536   2088 4512376    0    0     0     0  480  803  0  0 100  0  0 2021-07-25 20:25:23
 0  0      0 246383536   2088 4512380    0    0     0     0  535  928  0  0 100  0  0 2021-07-25 20:25:24
 0  0      0 246383536   2088 4512380    0    0     0     0  518  864  0  0 100  0  0 2021-07-25 20:25:25
 0  0      0 246383536   2088 4512380    0    0     0     0  568  926  0  0 100  0  0 2021-07-25 20:25:26
 0  0      0 246383536   2088 4512380    0    0     0    46  838 1267  0  0 100  0  0 2021-07-25 20:25:27
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 246383536   2088 4512380    0    0     0     0  463  785  0  0 100  0  0 2021-07-25 20:25:28
 0  0      0 246383536   2088 4512380    0    0     0     0  484  815  0  0 100  0  0 2021-07-25 20:25:29
 0  0      0 246383536   2088 4512380    0    0     0     0  564  970  0  0 100  0  0 2021-07-25 20:25:30
 0  0      0 246383536   2088 4512380    0    0     0     0  493  840  0  0 100  0  0 2021-07-25 20:25:31
 0  0      0 246383536   2088 4512380    0    0     0   160  525  863  0  0 100  0  0 2021-07-25 20:25:32
 0  0      0 246383536   2088 4512380    0    0     0     0  542  909  0  0 100  0  0 2021-07-25 20:25:33
 0  0      0 246383536   2088 4512380    0    0     0     0  544  932  0  0 100  0  0 2021-07-25 20:25:34
 0  0      0 246383536   2088 4512380    0    0     0     0  521  864  0  0 100  0  0 2021-07-25 20:25:35
 0  0      0 246383536   2088 4512380    0    0     0     0  461  791  0  0 100  0  0 2021-07-25 20:25:36
 0  0      0 246383536   2088 4512380    0    0     0     0  526  907  0  0 100  0  0 2021-07-25 20:25:37
32  0      0 246328528   2088 4512380    0    0     0     0 1409 1495  2  1 97  0  0 2021-07-25 20:25:38
 4  0      0 245988784   2088 4512412    0    0     0     0 11943 907652 15 14 71  0  0 2021-07-25 20:25:39
 0  0      0 245948336   2088 4512444    0    0     0     0  872 1066  1  0 99  0  0 2021-07-25 20:25:40
 0  0      0 245948288   2088 4512444    0    0     0     0  593  934  0  0 100  0  0 2021-07-25 20:25:41
 0  0      0 245948288   2088 4512448    0    0     0     8  556  924  0  0 100  0  0 2021-07-25 20:25:42
 0  0      0 245948288   2088 4512448    0    0     0     0  500  866  0  0 100  0  0 2021-07-25 20:25:43
 0  0      0 245948288   2088 4512448    0    0     0     0  514  905  0  0 100  0  0 2021-07-25 20:25:44
 0  0      0 245948288   2088 4512448    0    0     0     0  508  862  0  0 100  0  0 2021-07-25 20:25:45
 1  0      0 245948288   2088 4512452    0    0     0     0  559  923  0  0 100  0  0 2021-07-25 20:25:46
 0  0      0 245948288   2088 4512452    0    0     0     0  546  937  0  0 100  0  0 2021-07-25 20:25:47
 0  0      0 245948288   2088 4512452    0    0     0     8  968 1308  0  0 100  0  0 2021-07-25 20:25:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
