procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59329080   2088 2335408    0    0    18    17  176  173 10  1 89  0  0 2021-07-24 07:47:13
 0  0      0 59330052   2088 2335408    0    0     0     0  666  953  0  0 100  0  0 2021-07-24 07:47:14
 0  0      0 59329988   2088 2335412    0    0     0     0  502  875  0  0 100  0  0 2021-07-24 07:47:15
 0  0      0 59329988   2088 2335412    0    0     0     0  511  886  0  0 100  0  0 2021-07-24 07:47:16
 0  0      0 59329988   2088 2335412    0    0     0     0  509  874  0  0 100  0  0 2021-07-24 07:47:17
 0  0      0 59328644   2088 2335412    0    0     0   348  680  960  0  0 100  0  0 2021-07-24 07:47:18
 0  0      0 59328532   2088 2335416    0    0     0     0  482  832  0  0 100  0  0 2021-07-24 07:47:19
 0  0      0 59328532   2088 2335416    0    0     0     0  489  866  0  0 100  0  0 2021-07-24 07:47:20
 0  0      0 59328532   2088 2335416    0    0     0     0  483  854  0  0 100  0  0 2021-07-24 07:47:21
 0  0      0 59328532   2088 2335416    0    0     0     0  600  992  0  0 100  0  0 2021-07-24 07:47:22
 0  0      0 59328008   2088 2335416    0    0     0     0  727 1086  0  0 100  0  0 2021-07-24 07:47:23
 0  0      0 59328276   2088 2335424    0    0     0     0  518  900  0  0 100  0  0 2021-07-24 07:47:24
 0  0      0 59328276   2088 2335424    0    0     0     0  648  858  0  0 100  0  0 2021-07-24 07:47:25
 0  0      0 59328276   2088 2335424    0    0     0     0  685  918  0  0 100  0  0 2021-07-24 07:47:26
 0  0      0 59328276   2088 2335424    0    0     0     0  501  892  0  0 100  0  0 2021-07-24 07:47:27
 0  0      0 59329176   2088 2335424    0    0     0     0  720 1004  0  0 100  0  0 2021-07-24 07:47:28
 0  0      0 59329564   2088 2335556    0    0     0     0  566  951  0  0 100  0  0 2021-07-24 07:47:29
 0  0      0 59329564   2088 2335560    0    0     0     0  551  937  0  0 100  0  0 2021-07-24 07:47:30
 0  0      0 59329564   2088 2335560    0    0     0     0  508  912  0  0 100  0  0 2021-07-24 07:47:31
 0  0      0 59327532   2088 2335560    0    0     0    20  672 1012  0  0 100  0  0 2021-07-24 07:47:32
 0  0      0 59327536   2088 2335560    0    0     0     0  513  880  0  0 100  0  0 2021-07-24 07:47:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59327536   2088 2335560    0    0     0     4  511  906  0  0 100  0  0 2021-07-24 07:47:34
 0  0      0 59327536   2088 2335560    0    0     0     0  514  897  0  0 100  0  0 2021-07-24 07:47:35
 0  0      0 59327536   2088 2335560    0    0     0     0  510  905  0  0 100  0  0 2021-07-24 07:47:36
 0  0      0 59327536   2088 2335560    0    0     0     0  514  899  0  0 100  0  0 2021-07-24 07:47:37
 0  0      0 59327536   2088 2335560    0    0     0     0  527  928  0  0 100  0  0 2021-07-24 07:47:38
 0  0      0 59327536   2088 2335560    0    0     0   117  530  934  0  0 100  0  0 2021-07-24 07:47:39
 0  0      0 59327536   2088 2335560    0    0     0     0  568  971  0  0 100  0  0 2021-07-24 07:47:40
 0  0      0 59327264   2088 2335560    0    0     0     0  540  933  0  0 100  0  0 2021-07-24 07:47:41
 0  0      0 59328504   2088 2335560    0    0     0     0 1011 1006  0  0 100  0  0 2021-07-24 07:47:42
 0  0      0 59328444   2088 2335568    0    0     0     0  518  893  0  0 100  0  0 2021-07-24 07:47:43
 0  0      0 59328452   2088 2335568    0    0     0     4  551  937  0  0 100  0  0 2021-07-24 07:47:44
 0  0      0 59328452   2088 2335568    0    0     0     0  635 1054  0  0 100  0  0 2021-07-24 07:47:45
 0  0      0 59327420   2088 2335568    0    0     0     0  655  994  0  0 100  0  0 2021-07-24 07:47:46
 0  0      0 59327292   2088 2335572    0    0     0     0  539  943  0  0 100  0  0 2021-07-24 07:47:47
 0  0      0 59327292   2088 2335572    0    0     0     0  514  912  0  0 100  0  0 2021-07-24 07:47:48
 0  0      0 59327292   2088 2335572    0    0     0     0  489  873  0  0 100  0  0 2021-07-24 07:47:49
 0  0      0 59327292   2088 2335576    0    0     0     0  520  925  0  0 100  0  0 2021-07-24 07:47:50
 0  0      0 59327292   2088 2335576    0    0     0     0  517  908  0  0 100  0  0 2021-07-24 07:47:51
 0  0      0 59327292   2088 2335576    0    0     0     0  505  891  0  0 100  0  0 2021-07-24 07:47:52
 0  0      0 59327292   2088 2335576    0    0     0     0  509  896  0  0 100  0  0 2021-07-24 07:47:53
 0  0      0 59327292   2088 2335576    0    0     0   284  528  896  0  0 100  0  0 2021-07-24 07:47:54
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59327156   2088 2335576    0    0     0     0  521  889  0  0 100  0  0 2021-07-24 07:47:55
 0  0      0 59328816   2088 2335580    0    0     0     0  661  969  0  0 100  0  0 2021-07-24 07:47:56
 0  0      0 59328816   2088 2335580    0    0     0     0  541  949  0  0 100  0  0 2021-07-24 07:47:57
 0  0      0 59328816   2088 2335580    0    0     0     0  885  967  0  0 100  0  0 2021-07-24 07:47:58
 0  0      0 59328816   2088 2335580    0    0     0     4  530  923  0  0 100  0  0 2021-07-24 07:47:59
 0  0      0 59326912   2088 2335584    0    0     0     0  683 1013  0  0 100  0  0 2021-07-24 07:48:00
 0  0      0 59326912   2088 2335588    0    0     0     0  540  935  0  0 100  0  0 2021-07-24 07:48:01
 0  0      0 59326912   2088 2335588    0    0     0     0  516  914  0  0 100  0  0 2021-07-24 07:48:02
 1  0      0 59301576   2088 2335588    0    0     0     0  798 1214  2  0 97  0  0 2021-07-24 07:48:03
 1  0      0 59176284   2088 2335596    0    0     0     0 3351 1337 20 13 67  0  0 2021-07-24 07:48:04
 2  0      0 59150592   2088 2335596    0    0     0     0 2835 2616  3  0 97  0  0 2021-07-24 07:48:05
 1  0      0 58561056   2088 2345840    0    0     0     0 1402 1318  8  5 87  0  0 2021-07-24 07:48:06
 1  0      0 57918680   2088 2345840    0    0     0     0  812  974  9  4 87  0  0 2021-07-24 07:48:07
 1  0      0 57245032   2088 2345840    0    0     0     0  793  956  9  4 87  0  0 2021-07-24 07:48:08
 1  0      0 56700532   2088 2347784    0    0     0     0  920 1049  9  4 87  0  0 2021-07-24 07:48:09
 1  0      0 56570404   2088 2385580    0    0     0     8 5978 2678 16  2 82  0  0 2021-07-24 07:48:10
 4  0      0 56455500   2088 2465968    0    0     0     0 2056 1973 20  1 79  0  0 2021-07-24 07:48:11
