,ephoch-labels,timestamps,deltas,delta-seconds
0,start,2021-07-24 07:48:00+00:00,0 days 00:00:00,0
1,ephoch-1,2021-07-24 07:48:00+00:00,0 days 00:00:02,2
2,ephoch-2,2021-07-24 07:48:02+00:00,0 days 00:00:04,4
3,ephoch-3,2021-07-24 07:48:04+00:00,0 days 00:00:03,3
4,ephoch-4,2021-07-24 07:48:05+00:00,0 days 00:00:57,57
5,ephoch-5,2021-07-24 07:49:01+00:00,0 days 00:00:57,57
6,ephoch-6,2021-07-24 07:49:02+00:00,0 days 00:00:03,3
7,ephoch-7,2021-07-24 07:49:04+00:00,0 days 00:00:03,3
8,ephoch-8,2021-07-24 07:49:05+00:00,0 days 00:00:57,57
9,ephoch-9,2021-07-24 07:50:01+00:00,0 days 00:00:58,58
10,ephoch-10,2021-07-24 07:50:03+00:00,0 days 00:00:03,3
11,ephoch-11,2021-07-24 07:50:04+00:00,0 days 00:00:57,57
12,ephoch-12,2021-07-24 07:51:00+00:00,0 days 00:00:57,57
13,ephoch-13,2021-07-24 07:51:01+00:00,0 days 00:00:03,3
14,ephoch-14,2021-07-24 07:51:03+00:00,0 days 00:00:04,4
15,ephoch-15,2021-07-24 07:51:05+00:00,0 days 00:00:57,57
16,ephoch-16,2021-07-24 07:52:00+00:00,0 days 00:00:57,57
17,ephoch-17,2021-07-24 07:52:02+00:00,0 days 00:00:03,3
18,ephoch-18,2021-07-24 07:52:03+00:00,0 days 00:00:03,3
19,ephoch-19,2021-07-24 07:52:05+00:00,0 days 00:00:57,57
20,ephoch-20,2021-07-24 07:53:00+00:00,0 days 00:00:57,57
