procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 59602896  81648 2718240    0    0    61   216  535  104  7  3 90  0  0 2021-07-25 04:18:52
 0  0      0 59600368  81656 2718232    0    0     0    40  668  932  0  0 100  0  0 2021-07-25 04:18:53
 0  0      0 59600368  81656 2718232    0    0     0     0  459  752  0  0 100  0  0 2021-07-25 04:18:54
 0  0      0 59600116  81656 2718252    0    0     0     0  402  721  0  0 100  0  0 2021-07-25 04:18:55
 0  0      0 59599108  81656 2718248    0    0     0     0  544  837  2  0 98  0  0 2021-07-25 04:18:56
 0  0      0 59599108  81656 2718248    0    0     0     0  441  708  0  0 100  0  0 2021-07-25 04:18:57
 0  0      0 59599108  81656 2718248    0    0     0     0  391  696  0  0 100  0  0 2021-07-25 04:18:58
 0  0      0 59599108  81656 2718248    0    0     0     0  374  666  0  0 100  0  0 2021-07-25 04:18:59
 0  0      0 59599108  81656 2718248    0    0     0     0  428  750  0  0 100  0  0 2021-07-25 04:19:00
 0  0      0 59599108  81656 2718248    0    0     0     0  487  815  0  0 100  0  0 2021-07-25 04:19:01
 0  0      0 59599108  81656 2718248    0    0     0     0  387  701  0  0 100  0  0 2021-07-25 04:19:02
 0  0      0 59599108  81656 2718248    0    0     0     0  395  687  0  0 100  0  0 2021-07-25 04:19:03
 0  0      0 59599108  81656 2718248    0    0     0    12  358  654  0  0 100  0  0 2021-07-25 04:19:04
 0  0      0 59599108  81656 2718248    0    0     0     0  370  656  0  0 100  0  0 2021-07-25 04:19:05
 0  0      0 59599108  81656 2718248    0    0     0     0  349  641  0  0 100  0  0 2021-07-25 04:19:06
 0  0      0 59599108  81656 2718248    0    0     0     0  345  640  0  0 100  0  0 2021-07-25 04:19:07
 0  0      0 59599108  81656 2718248    0    0     0     0  358  658  0  0 100  0  0 2021-07-25 04:19:08
 1  0      0 59572608  81656 2718268    0    0     0     0  625  824  3  1 97  0  0 2021-07-25 04:19:09
 0  0      0 59567184  81656 2718268    0    0     0     0  532  781  1  0 99  0  0 2021-07-25 04:19:10
 0  0      0 59542084  81656 2718288    0    0     0     4 1359 1325  4  1 95  0  0 2021-07-25 04:19:11
 1  0      0 59488020  81656 2718288    0    0     0     4 1418 1378  2  1 97  0  0 2021-07-25 04:19:12
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 59597232  81656 2718276    0    0     0     0 1192 1100  8  3 90  0  0 2021-07-25 04:19:13
 1  0      0 59358232  81656 2718292    0    0     0     0  677  778  5  2 94  0  0 2021-07-25 04:19:14
 2  0      0 59211152  81656 2726636    0    0     0   296 3036 3141 12  3 85  0  0 2021-07-25 04:19:15
 1  0      0 58498024  81656 2736876    0    0     0     0 4119 2227 14 10 76  0  0 2021-07-25 04:19:16
 2  0      0 57864680  81656 2736876    0    0     0     0 3738 1684 15 10 76  0  0 2021-07-25 04:19:17
 2  0      0 57216488  81656 2736876    0    0     0     0 3294  704 17  8 75  0  0 2021-07-25 04:19:18
 2  0      0 56728912  81656 2784180    0    0     0     0 3742 1439 15  8 77  0  0 2021-07-25 04:19:19
 1  0      0 56645000  81656 2803056    0    0     0     0 7914 3562 14  6 79  0  0 2021-07-25 04:19:20
 2  0      0 56543384  81656 2826996    0    0     0     0 8271 3966 14  3 83  0  0 2021-07-25 04:19:21
 2  0      0 56523004  81656 2826996    0    0     0     0 11838 2901 18  4 77  0  0 2021-07-25 04:19:22
 2  0      0 56523964  81664 2826996    0    0     0   204 12765 1895 23  7 70  0  0 2021-07-25 04:19:23
 5  0      0 56557488  81664 2826996    0    0     0     0 13783 2119 25  9 66  0  0 2021-07-25 04:19:24
 2  0      0 56522164  81664 2826996    0    0     0    12 7278 1361 23  7 70  0  0 2021-07-25 04:19:25
 2  0      0 56556040  81664 2826996    0    0     0     0 13391 1891 22  9 70  0  0 2021-07-25 04:19:26
 2  0      0 56531364  81664 2826996    0    0     0     0 13374 2608 25  6 69  0  0 2021-07-25 04:19:27
 2  0      0 56534340  81664 2827000    0    0     0     0 10288 2623 24  8 68  0  0 2021-07-25 04:19:28
 2  0      0 56534336  81664 2827000    0    0     0     0 13166 2406 24  8 68  0  0 2021-07-25 04:19:29
 4  0      0 56533316  81664 2827000    0    0     0    12 14358 2452 28  7 64  0  0 2021-07-25 04:19:30
 2  0      0 56533380  81664 2827000    0    0     0     0 11028 2032 22  8 70  0  0 2021-07-25 04:19:31
 1  0      0 56533696  81664 2827020    0    0     0     0 14016 2311 26  8 66  0  0 2021-07-25 04:19:32
 5  0      0 56533608  81664 2827020    0    0     0     0 14399 2762 28  7 65  0  0 2021-07-25 04:19:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 56533224  81664 2827020    0    0     0     0 13302 2396 26  8 65  0  0 2021-07-25 04:19:34
 2  0      0 56530656  81664 2827020    0    0     0     0 14289 2265 26  9 65  0  0 2021-07-25 04:19:35
 2  0      0 56533688  81664 2827020    0    0     0     0 14364 2713 26  8 66  0  0 2021-07-25 04:19:36
 5  0      0 56552820  81664 2827020    0    0     0     0 10048 2270 24  8 68  0  0 2021-07-25 04:19:37
 0  0      0 56553108  81664 2827020    0    0     0     0 13757 3415 26  9 65  0  0 2021-07-25 04:19:38
 2  0      0 56543304  81664 2827020    0    0     0     0 9510 4484 27  5 68  0  0 2021-07-25 04:19:39
 5  0      0 56542044  81664 2827020    0    0     0     0 4683 1905 34  6 61  0  0 2021-07-25 04:19:40
 2  0      0 56542044  81664 2827020    0    0     0     0 4634 1826 34  6 60  0  0 2021-07-25 04:19:41
 2  0      0 56526672  81664 2827020    0    0     0     0 4535 1932 28  6 66  0  0 2021-07-25 04:19:42
 5  0      0 56432432  81664 2920684    0    0     0     0 10146 2498 25  7 68  0  0 2021-07-25 04:19:43
 4  0      0 56432224  81664 2920684    0    0     0     0 15864 2350 25  8 66  0  0 2021-07-25 04:19:44
 5  0      0 56432368  81664 2920684    0    0     0  8240 11198 2005 22  8 70  0  0 2021-07-25 04:19:45
 2  0      0 56430176  81664 2920684    0    0     0     0 15685 2244 23 10 68  0  0 2021-07-25 04:19:46
 4  0      0 56432272  81664 2920684    0    0     0     0 13293 3253 27  5 67  0  0 2021-07-25 04:19:47
 2  0      0 56432420  81664 2920684    0    0     0     0 13191 3023 24  7 68  0  0 2021-07-25 04:19:48
 2  0      0 56457644  81664 2920684    0    0     0     0 12656 2947 21  8 71  0  0 2021-07-25 04:19:49
 1  0      0 56461836  81664 2920684    0    0     0     0 10549 3193 23  5 72  0  0 2021-07-25 04:19:50
 2  0      0 56455548  81664 2920684    0    0     0     0 12239 2672 18  7 75  0  0 2021-07-25 04:19:51
 2  0      0 56459064  81664 2920684    0    0     0     0 14735 3052 26  7 67  0  0 2021-07-25 04:19:52
 2  0      0 56456928  81664 2920684    0    0     0     0 14536 2766 22  7 71  0  0 2021-07-25 04:19:53
 2  0      0 56453504  81672 2920676    0    0     0    68 12303 1747 21  9 70  0  0 2021-07-25 04:19:54
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 56443700  81672 2920684    0    0     0     0 12245 2667 24  7 70  0  0 2021-07-25 04:19:55
